municipality_name,gadm_id,province,area_sqkm,has_zone,zone_count,total_zone_area_ha,has_manufacturing,has_agro,earliest_op_date,pop_density_mean_2020,pop_total_2020,nightlights_mean_2018,nightlights_median_2018,builtup_fraction_2020,dist_nearest_airport_km,dist_nearest_primary_road_km
Opol,PHL.49.21_1,Misamis Oriental,143.69262191860005,0,0,0,FALSE,FALSE,NA,389.1819763183594,65879.53125,0.2727369964122772,0.17111458061611504,0.0091528349609375,20.935143848094228,10.525722993987777
Salay,PHL.49.22_1,Misamis Oriental,56.68148342014369,0,0,0,FALSE,FALSE,NA,618.77642822265625,41336.65234375,0.03796457126736641,0.12240868229318928,0.0041918095703125,44.18597299764596,3.4380052091352944
Sugbongcogon,PHL.49.23_1,Misamis Oriental,21.433738231883094,0,0,0,FALSE,FALSE,NA,402.3878479003906,10167.09765625,0.05577903985977173,0.11505273034062642,0.00606614892578125,36.52224727035172,2.4384284816283976
Tagoloan,PHL.49.24_1,Misamis Oriental,55.9490112474819,1,1,3000,TRUE,FALSE,1974,1424.751953125,93870.40625,1.3876101970672607,0.7529888503882243,0.0319091640625,38.42237784434262,4.084660315083501
Talisayan,PHL.49.25_1,Misamis Oriental,65.41755147042875,0,0,0,FALSE,FALSE,NA,339.0196533203125,26139.259765625,0.053242411464452744,0.1086556745207407,0.00341300439453125,40.27551354605832,3.0776745884518437
Villanueva,PHL.49.26_1,Misamis Oriental,46.23784750569194,0,0,0,FALSE,FALSE,NA,702.1280517578125,38234.78125,2.4261863231658936,0.4711029623064976,0.017968365234375,37.7833298508837,1.451905591526467
Barlig,PHL.50.1_1,Mountain Province,202.27341072678226,0,0,0,FALSE,FALSE,NA,20.059316635131836,4960.36962890625,0,0,5.16990234375e-4,66.92158685229855,0.5501062882958235
Bauko,PHL.50.2_1,Mountain Province,150.20560447178104,0,0,0,FALSE,FALSE,NA,178.88626098632812,32823.81640625,0.013305902481079102,0.05685889883284913,0.0058074521484375,67.7363471260411,1.5280274601497887
Besao,PHL.50.3_1,Mountain Province,124.23959026195874,0,0,0,FALSE,FALSE,NA,64.76292419433594,9838.4111328125,0,0,0.0012231741943359376,80.85045907209269,12.179151404326939
Bontoc,PHL.50.4_1,Mountain Province,310.81923525502646,0,0,0,FALSE,FALSE,NA,56.618492126464844,21515.896484375,0.011423371732234955,0.09835148880215405,0.002105060546875,82.71401791194978,0.6297432984538291
Natonin,PHL.50.5_1,Mountain Province,403.0998500618746,0,0,0,FALSE,FALSE,NA,25.606433868408203,12621.3818359375,0,0,5.216190185546875e-4,53.423829137661194,0.14353240639990503
Paracelis,PHL.50.6_1,Mountain Province,456.79815298282153,0,0,0,FALSE,FALSE,NA,60.044403076171875,33550.2578125,0,0,0.002156197998046875,42.86399381601006,6.055262556811743
Sabangan,PHL.50.7_1,Mountain Province,116.08698060642791,0,0,0,FALSE,FALSE,NA,57.66392517089844,8178.21484375,5.363536765798926e-4,0.10981052670662894,0.002018833251953125,72.17995835803549,2.7548693088357936
Sadanga,PHL.50.8_1,Mountain Province,148.31459163018974,0,0,0,FALSE,FALSE,NA,41.17732620239258,7470.484375,0,0,8.350068969726562e-4,82.6540190343214,3.185682581618825
Sagada,PHL.50.9_1,Mountain Province,76.77797961523308,0,0,0,FALSE,FALSE,NA,128.85205078125,12095.8955078125,0.01775859110057354,0.08677617292048113,0.00497121875,85.22645131403611,5.0072056140598615
Tadian,PHL.50.10_1,Mountain Province,139.88223718028547,0,0,0,FALSE,FALSE,NA,222.1889190673828,37974.921875,0.004929269198328257,0.07192637394894721,0.00438496240234375,69.11402491661202,2.2819586004625165
Bacolod City,PHL.51.1_1,Negros Occidental,152.52940382302134,0,0,0,FALSE,FALSE,NA,2855.39453125,517647.125,4.364363670349121,2.3192576779539786,0.077926265625,14.171206473411814,2.49984196284858
Bago City,PHL.51.2_1,Negros Occidental,351.56395727193507,0,0,0,FALSE,FALSE,NA,404.232421875,168835.84375,0.24368171393871307,0.12287598539064501,0.00664830322265625,30.015107852677453,9.054512168475975
Binalbagan,PHL.51.3_1,Negros Occidental,196.59199996346922,0,0,0,FALSE,FALSE,NA,274.8845520019531,64123.94140625,0.1573430746793747,0.10743618550743456,0.0042051826171875,71.38801477466032,8.08312261149853
Cadiz City,PHL.51.4_1,Negros Occidental,517.3215425529904,0,0,0,FALSE,FALSE,NA,217.99191284179688,134077.546875,0.14333435893058777,0.1043874846580429,0.003157740478515625,26.97773958056895,10.11045184555506
Calatrava,PHL.51.5_1,Negros Occidental,345.3551533551128,0,0,0,FALSE,FALSE,NA,183.13514709472656,75127.2734375,0.03740663453936577,0.10787908139146829,0.00216309326171875,43.817081596188444,9.939225189837282
Candoni,PHL.51.6_1,Negros Occidental,317.1670914078892,0,0,0,FALSE,FALSE,NA,53.76700973510742,20221.19140625,0.007979287765920162,0.07814674885827949,9.09155517578125e-4,87.97438692963703,20.76298148863389
Cauayan,PHL.51.7_1,Negros Occidental,462.9739801544385,0,0,0,FALSE,FALSE,NA,174.2395782470703,95701.234375,0.024534286931157112,0.09136643990565016,0.001764961669921875,102.46299994580504,7.315368267760416
Enrique B. Magalona,PHL.51.8_1,Negros Occidental,140.59962407670915,0,0,0,FALSE,FALSE,NA,382.04443359375,63877.25,0.18125538527965546,0.12251480709263948,0.00541584228515625,8.215232769370344,0.07146093941402168
Escalante City,PHL.51.9_1,Negros Occidental,193.8759893254472,0,0,0,FALSE,FALSE,NA,388.80963134765625,89578.6640625,0.16182991862297058,0.11500888566317508,0.00761492333984375,50.31061895734844,0.9227639396285314
Himamaylan City,PHL.51.10_1,Negros Occidental,367.8133722644256,0,0,0,FALSE,FALSE,NA,224.2078094482422,97840.7421875,0.20355124771595,0.12319762437205155,0.002883090576171875,80.25093903361953,7.2397497775962485
Hinigaran,PHL.51.11_1,Negros Occidental,150.10150993243752,0,0,0,FALSE,FALSE,NA,430.07110595703125,76640.2421875,0.10110058635473251,0.10755707950945292,0.00603617919921875,57.411551511603236,3.346892160165246
Hinoba-An,PHL.51.12_1,Negros Occidental,465.0185127311872,0,0,0,FALSE,FALSE,NA,88.09234619140625,48549.49609375,0.016988344490528107,0.07339067976279912,0.001343374755859375,83.25316633821824,7.870087282751092
Ilog,PHL.51.13_1,Negros Occidental,272.59503963849943,0,0,0,FALSE,FALSE,NA,171.989501953125,55599.5,0.04765089973807335,0.09633096124538394,0.0019350986328125,84.03157069372709,15.704040076704292
Isabela,PHL.51.14_1,Negros Occidental,198.27337342378215,0,0,0,FALSE,FALSE,NA,261.263427734375,61478.83203125,0.03436583653092384,0.08331021206000375,0.0027811533203125,63.030190507586944,4.452250018276158
Kabankalan City,PHL.51.15_1,Negros Occidental,712.5666130788132,0,0,0,FALSE,FALSE,NA,201.0363311767578,169871.09375,0.1844099909067154,0.06134909501812918,0.003698493896484375,77.30957660704033,4.953059356044941
La Carlota City,PHL.51.16_1,Negros Occidental,121.24001520496132,0,0,0,FALSE,FALSE,NA,447.6438293457031,64456.82421875,0.6093682646751404,0.13361941799442564,0.00804033642578125,40.03057442066922,1.0964709568878264
La Castellana,PHL.51.17_1,Negros Occidental,197.30126301936394,0,0,0,FALSE,FALSE,NA,300.9368896484375,70493.921875,0.03618001565337181,0.044049982898914854,0.003555743896484375,48.33624657958502,0.8060440127808064
Manapla,PHL.51.18_1,Negros Occidental,99.38098006130804,0,0,0,FALSE,FALSE,NA,414.023193359375,48936.58984375,0.24099086225032806,0.1055265388617646,0.00520445849609375,20.334678286821262,3.148778069515169
Moises Padilla,PHL.51.19_1,Negros Occidental,150.20597590724373,0,0,0,FALSE,FALSE,NA,220.62387084960938,39333.95703125,0.019642310217022896,0.09495937152936383,0.002460827880859375,56.80200809676113,9.241482460550463
Murcia,PHL.51.20_1,Negros Occidental,364.93532095895233,0,0,0,FALSE,FALSE,NA,207.87997436523438,90126.3671875,0.10764520615339279,0.10030981028230104,0.00278733349609375,25.935489661743716,0.4729283039041782
Pontevedra,PHL.51.21_1,Negros Occidental,115.23644560668131,0,0,0,FALSE,FALSE,NA,356.0276794433594,48721.01953125,0.11509627848863602,0.10236865444690009,0.00533790185546875,47.305321115037,6.318401389690011
Pulupandan,PHL.51.22_1,Negros Occidental,16.15558489069451,0,0,0,FALSE,FALSE,NA,879.5667724609375,16885.23046875,0.5929802656173706,0.4360841319570732,0.0157607490234375,35.843558722327735,1.8830121522932206
Sagay City,PHL.51.23_1,Negros Occidental,305.34696694379244,1,1,20,FALSE,TRUE,NA,364.99346923828125,132477.265625,0.20628240704536438,0.10229592677423799,0.00623836083984375,41.850931509121736,4.418142006153623
Salvador Benedicto,PHL.51.24_1,Negros Occidental,182.61844074569825,0,0,0,FALSE,FALSE,NA,116.88365173339844,25355.287109375,0.011943329125642776,0.10496326253888419,0.0011834150390625,33.919173669959854,0.7245671407486024
San Carlos City,PHL.51.25_1,Negros Occidental,409.89500371700683,1,3,87.83420000000001,TRUE,TRUE,2009,243.93069458007812,118724.828125,0.2707500159740448,0.08982788142495861,0.00408759716796875,44.70294481172406,4.128515283435098
San Enrique,PHL.51.26_1,Negros Occidental,27.5324964730145,0,0,0,FALSE,FALSE,NA,669.9996337890625,21911.50390625,0.2851763367652893,0.26745457218347984,0.0112984384765625,42.848975367864774,0.5240440526751697
Silay City,PHL.51.27_1,Negros Occidental,196.91639312647644,0,0,0,FALSE,FALSE,NA,490.9981994628906,114949.78125,0.45399242639541626,0.11075989732531147,0.0077200263671875,5.958828035427485,6.576438139956116
Sipalay City,PHL.51.28_1,Negros Occidental,327.09524451697456,0,0,0,FALSE,FALSE,NA,162.00274658203125,62840.95703125,0.05799965560436249,0.09383512113040215,0.0029720986328125,101.73722958376946,4.6925481993034754
Talisay City,PHL.51.29_1,Negros Occidental,199.40623713670956,0,0,0,FALSE,FALSE,NA,407.7696228027344,96642.8828125,0.5690200328826904,0.1387855101971214,0.00787614111328125,11.435003486451203,8.732368299352302
Toboso,PHL.51.30_1,Negros Occidental,118.81194190792033,0,0,0,FALSE,FALSE,NA,267.28369140625,37730.07421875,0.02890854701399803,0.08208245792004054,0.003549668212890625,47.210049796212125,3.9951735940101782
Valladolid,PHL.51.31_1,Negros Occidental,40.43770881909401,0,0,0,FALSE,FALSE,NA,740.015380859375,35550.640625,0.13287253677845,0.14691182016918092,0.013512189453125,39.18118215389025,3.1168026934422914
Victorias City,PHL.51.32_1,Negros Occidental,103.75936683639503,0,0,0,FALSE,FALSE,NA,693.35382080078125,85548.1015625,0.5959282517433167,0.14087878739545395,0.0115863671875,13.150632851833345,3.590256339454478
Amlan,PHL.52.1_1,Negros Oriental,65.81449772523092,0,0,0,FALSE,FALSE,NA,255.10182189941406,19876.5546875,0.2087840884923935,0.2036784918063586,0.006280916015625,17.221231643775614,5.707558518577052
Ayungon,PHL.52.2_1,Negros Oriental,171.07793056769034,0,0,0,FALSE,FALSE,NA,272.14044189453125,55197.5625,0.020611118525266647,0.13900200601204932,0.00375258447265625,65.04459315866355,7.798468222627691
Bacong,PHL.52.3_1,Negros Oriental,26.12919903554877,0,0,0,FALSE,FALSE,NA,1409.8477783203125,43584.203125,0.5798793435096741,0.37256216976648837,0.02545563671875,10.370148054211361,1.5593602269263476
Bais City,PHL.52.4_1,Negros Oriental,269.7393593812994,0,0,0,FALSE,FALSE,NA,209.70358276367188,67012.3046875,0.09946787357330322,0.08330633986004118,0.004833279296875,42.391778544792196,1.6348775108569673
Basay,PHL.52.5_1,Negros Oriental,132.50675164449942,0,0,0,FALSE,FALSE,NA,189.6956787109375,29776.3203125,0.023310309275984764,0.10498844668042323,0.001726046875,69.77236419703331,5.156329731369365
Bayawan City,PHL.52.6_1,Negros Oriental,684.3689820370975,0,0,0,FALSE,FALSE,NA,151.3064727783203,122668.6796875,0.061962615698575974,0.0801957181998597,0.002525037841796875,56.56393273419538,14.723282000071931
Bindoy,PHL.52.7_1,Negros Oriental,203.87451550424612,0,0,0,FALSE,FALSE,NA,203.5391387939453,49186.34765625,0.006201195064932108,0.09887098850042254,0.0022827021484375,57.62649001662773,8.507172098626475
Canlaon City,PHL.52.8_1,Negros Oriental,147.64635666391277,0,0,0,FALSE,FALSE,NA,296.0398254394531,51886.640625,0.05682213976979256,0.09387854892234075,0.0040792802734375,51.45218051835335,2.4590982477850454
Dauin,PHL.52.9_1,Negros Oriental,81.08703911977852,0,0,0,FALSE,FALSE,NA,276.04345703125,26482.08203125,0.12551869451999664,0.10304003018955155,0.0067131630859375,16.612328237539014,4.791920054263656
Dumaguete City,PHL.52.10_1,Negros Oriental,30.485597063241094,0,0,0,FALSE,FALSE,NA,3427.889892578125,123655.15625,4.72545862197876,3.273381189961399,0.1078428359375,3.949415890123953,1.1192393594862458
Guihulngan City,PHL.52.11_1,Negros Oriental,346.95530933657597,0,0,0,FALSE,FALSE,NA,223.17552185058594,91868.4296875,0.06574182212352753,0.09030019066798681,0.002791838134765625,69.49598925839521,7.048950262171169
Jimalalud,PHL.52.12_1,Negros Oriental,126.60065614310093,0,0,0,FALSE,FALSE,NA,207.33934020996094,31131.17578125,0.027192866429686546,0.04976032852758333,0.0022514697265625,77.48392643375634,8.190582839136347
La Libertad,PHL.52.13_1,Negros Oriental,130.89569297833373,0,0,0,FALSE,FALSE,NA,271.36907958984375,42132.31640625,0.016979258507490158,0.1109873984567504,0.002865973876953125,79.99659636921612,8.728182975801218
Mabinay,PHL.52.14_1,Negros Oriental,376.0711269751386,0,0,0,FALSE,FALSE,NA,197.6456756591797,88094.5625,0.027127452194690704,0.08980203962408122,0.002888520751953125,57.86100370288499,1.3100996250000772
Manjuyod,PHL.52.15_1,Negros Oriental,94.55145012172913,0,0,0,FALSE,FALSE,NA,351.2945556640625,39357.12109375,0.0346720889210701,0.10187925253011508,0.00466215625,45.72456696762504,4.692121794020469
Pamplona,PHL.52.16_1,Negros Oriental,215.515284818725,0,0,0,FALSE,FALSE,NA,143.15960693359375,36532.3984375,0.01944734901189804,0.12461795052354992,0.0024084208984375,29.73665888980907,0.6853757260463772
San Jose,PHL.52.17_1,Negros Oriental,47.19717181189137,0,0,0,FALSE,FALSE,NA,385.54571533203125,21540.0078125,0.22592799365520477,0.20143859713778517,0.00760288671875,12.048550280453458,3.004437936211366
Santa Catalina,PHL.52.18_1,Negros Oriental,543.6469330784136,0,0,0,FALSE,FALSE,NA,104.31487274169922,67126.1484375,0.013591990806162357,0.11139739970451072,0.001381522705078125,35.95315653391207,11.05755237063366
Siaton,PHL.52.19_1,Negros Oriental,313.3615933942703,0,0,0,FALSE,FALSE,NA,227.02328491210938,84165.3203125,0.05017618462443352,0.06310039547990265,0.0026496513671875,37.53911593500529,6.603252654385989
Sibulan,PHL.52.20_1,Negros Oriental,165.70912020934352,0,0,0,FALSE,FALSE,NA,314.439697265625,61674.83203125,0.30339330434799194,0.15394717396338436,0.009426826171875,15.886032550334393,11.474810749490329
Tanjay City,PHL.52.21_1,Negros Oriental,261.5208614500513,0,0,0,FALSE,FALSE,NA,246.07528686523438,76217.3828125,0.14275473356246948,0.10449909794740672,0.00521247900390625,34.573692926806544,6.908950155873358
Tayasan,PHL.52.22_1,Negros Oriental,157.32178723803358,0,0,0,FALSE,FALSE,NA,209.60284423828125,39103.3203125,0.023066330701112747,0.04840991786544462,0.002146157470703125,73.0949357940805,8.9834360107877
Valencia,PHL.52.23_1,Negros Oriental,144.74122062226857,0,0,0,FALSE,FALSE,NA,277.72613525390625,47570.76171875,0.5129132866859436,0.1974088336542006,0.007207552734375,13.4704573369705,9.568711623677464
