position	name	type	varlab
133	sIVq58_fuelmix_diesel	byte	Q58 - Share of  Diesel in Production Fuel Mix
134	sIVq58_fuelmix_electricity	byte	Q58 - Share of Electricity in Production Fuel Mix
135	sIVq58_fuelmix_gasoline	byte	Q58 - Share of Gasoline in Production Fuel Mix
136	sIVq58_fuelmix_kerosene	byte	Q58 - Share of Kerosene in Production Fuel Mix
137	sIVq58_fuelmix_lpg	byte	Q58 - Share of LPG in Production Fuel Mix
138	sIVq58_fuelmix_natgas	byte	Q58 - Share of Natural Gas in Production Fuel Mix
139	sIVq58_fuelmix_propane	byte	Q58 - Share of Propane in Production Fuel Mix
140	sIVq58_fuelmix_other1	byte	Q58 - Share of Other Fuel (1) in Production Fuel Mix
141	sIVq58_fuelmix_other2	byte	Q58 - Share of Other Fuel (2) in Production Fuel Mix
142	sIVq58_fuelmix_other3	byte	Q58 - Share of Other Fuel (3) in Production Fuel Mix
143	sIVq59_biodie_use	str2	Q59 - Use of Biodiesel
144	sIVq60_biodie_impor	byte	Q60 - Importance of Biodiesel
145	sIVq61_biodie_airgas	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Air/Gas Mixing
146	sIVq61_biodie_baking	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Baking
147	sIVq61_biodie_boiler	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Boiler Operation
148	sIVq61_biodie_burn	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Burning
149	sIVq61_biodie_curing	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Curing
150	sIVq61_biodie_diecast	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Die Casting or Wire Bond
151	sIVq61_biodie_dry	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Drying or Annealing
152	sIVq61_biodie_engload	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Engine Loading or Prepar
153	sIVq61_biodie_fabri	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Fabrication
154	sIVq61_biodie_fork	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Forklift Operation
155	sIVq61_biodie_heat	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Heat Treatment
156	sIVq61_biodie_ice	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Ice Making
157	sIVq61_biodie_impreg	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Impregnation
158	sIVq61_biodie_machinj	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Machine Injection or Mol
159	sIVq61_biodie_melt	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Melting or Pre-melting
160	sIVq61_biodie_metal	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Metal Treatment or Pre-t
161	sIVq61_biodie_paint	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Painting
162	sIVq61_biodie_smelt	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Smelting
163	sIVq61_biodie_steel	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Steel Cutting
164	sIVq61_biodie_thermoxi	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Thermal Oxidaation
165	sIVq61_biodie_transpo	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Transportation and Logis
166	sIVq61_biodie_weld	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Welding
167	sIVq61_biodie_stamp	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Stamping
168	sIVq61_biodie_aircomp	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Air Compression / Vacuum
169	sIVq61_biodie_other	byte	Q61 - Biodiesel - Process in Production that Use Fuel - Others
170	sIVq62_biodie_cons_lit_airgas	byte	Q62 - Biodiesel - Consumption per Process in Liters per Day - Air/Gas Mixing
171	sIVq62_biodie_cons_lit_baking	byte	Q62 - Biodiesel - Consumption per Process in Liters per Day - Baking
172	sIVq62_biodie_cons_lit_boiler	byte	Q62 - Biodiesel - Consumption per Process in Liters per Day - Boiler Operation
173	sIVq62_biodie_cons_lit_burn	byte	Q62 - Biodiesel - Consumption per Process in Liters per Day - Burning
174	sIVq62_biodie_cons_lit_curing	byte	Q62 - Biodiesel - Consumption per Process in Liters per Day - Curing
175	sIVq62_biodie_cons_lit_diecast	byte	Q62 - Biodiesel - Consumption per Process in Liters per Day - Die Casting or Wir
176	sIVq62_biodie_cons_lit_dry	byte	Q62 - Biodiesel - Consumption per Process in Liters per Day - Drying or Annealin
